Institutes Names,Institutes Place,Logo Link
Analytics IAS Academy ,Noida,https://images.collegedunia.com/public/image/institute/logo_1593953970download (5).jpg?h=40&w=40&mode=stretch
Elite IAS Academy ,New Delhi,https://images.collegedunia.com/public/image/institute/logo_1594008576elite logo.jpg?h=40&w=40&mode=stretch
Future IAS ,New Delhi,https://images.collegedunia.com/public/image/institute/logo_1594058270future IAS cover.png?h=40&w=40&mode=stretch
Pabulum IAS ,New Delhi,https://images.collegedunia.com/public/image/institute/logo_1594191160Pbulum 2.PNG?h=40&w=40&mode=stretch
Kamaraj IAS academy ,Chennai,https://images.collegedunia.com/public/image/institute/logo_1594642227kamraj 3.jpg?h=40&w=40&mode=stretch
Chinmaya IAS Academy ,Chennai,https://images.collegedunia.com/public/image/institute/logo_1600864671download.jpg?h=40&w=40&mode=stretch
Sun IAS Academy ,Chennai,https://images.collegedunia.com/public/image/institute/logo_1594718043sun ias 6.jpg?h=40&w=40&mode=stretch
Bright Career maker ,Faridabad,https://images.collegedunia.com/public/image/institute/logo_1594839153bright logo.jpg?h=40&w=40&mode=stretch
"BANGALORE SCHOOL OF CIVIL SERVICES (UPSC, BANKING COACHING) ",Bangalore,https://images.collegedunia.com/public/image/institute/logo_1594892403bangalore.png?h=40&w=40&mode=stretch
IITians Spectrum Edutech (JEE Advanced),Mumbai,https://images.collegedunia.com/public/image/institute/logo_1702273808j.png?h=40&w=40&mode=stretch
Centum Academy ,Bangalore,https://images.collegedunia.com/public/image/institute/logo_1620592531M1 (1).PNG?h=40&w=40&mode=stretch
Krishna Central Academy ,New Delhi,https://images.collegedunia.com/public/image/institute/logo_1596181458freesnippingtool.com_capture_20200731125851.png?h=40&w=40&mode=stretch
Wify Academy (JEE Advanced),Mumbai,https://images.collegedunia.com/public/image/institute/logo_1596576768download.png?h=40&w=40&mode=stretch
GEMJEE (NEET),Chennai,https://images.collegedunia.com/public/image/institute/logo_1596630001logo.png?h=40&w=40&mode=stretch
Interface Education ,Ghaziabad,https://images.collegedunia.com/public/image/institute/logo_1596714639download (1).png?h=40&w=40&mode=stretch
Chemshastra (JEE Main),New Delhi,https://images.collegedunia.com/public/image/institute/logo_1596773326freesnippingtool.com_capture_20200807093651.png?h=40&w=40&mode=stretch
Engineers Hub ,Visakhapatnam,https://images.collegedunia.com/public/image/institute/logo_1597045961Engineers-Hub logo.jpg?h=40&w=40&mode=stretch
Venturi Classes (GATE COACHING) ,Thane,https://images.collegedunia.com/public/image/institute/logo_1597060377freesnippingtool.com_capture_20200810170117.png?h=40&w=40&mode=stretch
Kulkarni Academy ,Hyderabad,https://images.collegedunia.com/public/image/institute/logo_1597224391LOGO.jpg?h=40&w=40&mode=stretch
Legacy IAS Academy ,Bangalore,https://images.collegedunia.com/public/image/institute/logo_1597322431llogo.png?h=40&w=40&mode=stretch
Gyanmudra (NEET),Ghaziabad,https://images.collegedunia.com/public/image/institute/logo_1597833105freesnippingtool.com_capture_20200819152201.png?h=40&w=40&mode=stretch
NEET Academy ,New Delhi,https://images.collegedunia.com/public/image/institute/logo_1605676587logo.svg?h=40&w=40&mode=stretch
Pratham Test Prep ,New Delhi,https://images.collegedunia.com/public/image/institute/logo_1597830791pratham logo.png?h=40&w=40&mode=stretch
Educrat IAS Academy ,Kolkata,https://images.collegedunia.com/public/image/institute/logo_1688964192image.png?h=40&w=40&mode=stretch
Satnara Academy (JEE Advanced),New Delhi,https://images.collegedunia.com/public/image/institute/logo_1597920250download (5).jpg?h=40&w=40&mode=stretch
Laureates Academy ,New Delhi,https://images.collegedunia.com/public/image/institute/logo_1598007642laura logo.png?h=40&w=40&mode=stretch
Kitabee Education Services ( CAT COACHING) (CAT),New Delhi,https://images.collegedunia.com/public/image/institute/logo_1598279777kit lo.jpg?h=40&w=40&mode=stretch
S2S Classes (10th Exam CBSE),New Delhi,https://images.collegedunia.com/public/image/institute/logo_1598270108logo.png?h=40&w=40&mode=stretch
Elan Academy (CAT),Bangalore,https://images.collegedunia.com/public/image/institute/logo_1598429568freesnippingtool.com_capture_20200826132816.png?h=40&w=40&mode=stretch
Tathagat Academy ( Cat coaching) (CAT),New Delhi,https://images.collegedunia.com/public/image/institute/logo_1598288440c-tatha-gat-karol-bagh-2843.png?h=40&w=40&mode=stretch
Proton Training Solutions (CLAT),Pune,https://images.collegedunia.com/public/image/institute/logo_1598295267proton logo.png?h=40&w=40&mode=stretch
MBAGuru Institute (CAT),New Delhi,https://images.collegedunia.com/public/image/institute/logo_1623243610Logo.jpg?h=40&w=40&mode=stretch
Alchemist Career Enhancement Private Limited (CAT),New Delhi,https://images.collegedunia.com/public/image/institute/logo_1625648649Screenshot 2021-07-07 143306.png?h=40&w=40&mode=stretch
2IIM CAT Online Coaching (CAT),Chennai,https://images.collegedunia.com/public/image/institute/logo_15983290602iim logo.png?h=40&w=40&mode=stretch
Success Ahead Education (CLAT),Bhopal,https://images.collegedunia.com/public/image/institute/logo_15983742311.png?h=40&w=40&mode=stretch
Praggya Law Institute (CLAT),Jaipur,https://images.collegedunia.com/public/image/institute/logo_1598378892freesnippingtool.com_capture_20200825233534.png?h=40&w=40&mode=stretch
STUDYMATE (CBSE COACHING) (10th Exam CBSE),New Delhi,https://images.collegedunia.com/public/image/institute/logo_1598845078download.jpg?h=40&w=40&mode=stretch
PlanetE Bank Exam Coaching (Banking),Mumbai,https://images.collegedunia.com/public/image/institute/logo_1598475120download.png?h=40&w=40&mode=stretch
AnkGanit ,New Delhi,https://images.collegedunia.com/public/image/institute/logo_1598509662ank logo.png?h=40&w=40&mode=stretch
Logicans (CLAT),Lucknow,https://images.collegedunia.com/public/image/institute/logo_1598550238Logo 1.png?h=40&w=40&mode=stretch
Abhyaas (CLAT),Hyderabad,https://images.collegedunia.com/public/image/institute/logo_1598558970j.jpg?h=40&w=40&mode=stretch
"JOB ACHIEVERS ACADEMY (BANK, TET COACHING) (WBCS)",Kolkata,https://images.collegedunia.com/public/image/institute/logo_1598603661A.jpg?h=40&w=40&mode=stretch
Vanik (SSC),Kolkata,https://images.collegedunia.com/public/image/institute/logo_1598616252logo1.png?h=40&w=40&mode=stretch
Sanjai Pandey Classes (JEE Main),Allahabad,https://images.collegedunia.com/public/image/institute/logo_1598622310hd.jpg?h=40&w=40&mode=stretch
Power Mind SSC Institute (SSC),Jaipur,https://images.collegedunia.com/public/image/institute/logo_1604066517tg.jpg?h=40&w=40&mode=stretch
Mindgame Coaching Classes (CLAT),Mumbai,https://images.collegedunia.com/public/image/institute/logo_1598869770MOCKUP_05May17_1333_B30566_4.png?h=40&w=40&mode=stretch
Sampann coaching classes ,Mumbai,https://images.collegedunia.com/public/image/institute/logo_1598875397Screenshot (12).png?h=40&w=40&mode=stretch
Lokayan IAS Academy ,Mumbai,https://images.collegedunia.com/public/image/institute/logo_1598960163Lokayan logo.png?h=40&w=40&mode=stretch
LACE Academy (Bank Exams/SSC/CAT/MAT/GMAT/ICET) (Banking),Hyderabad,https://images.collegedunia.com/public/image/institute/logo_1598996718llogo.png?h=40&w=40&mode=stretch
Defence Forces Academy (Defence Coaching) (NDA),Ghaziabad,https://images.collegedunia.com/public/image/institute/logo_1603883417n.jpg?h=40&w=40&mode=stretch
"ASHISH ARORA CLASSES (CA, CS CLASSES) ",New Delhi,https://images.collegedunia.com/public/image/institute/logo_1599304934AAC.PNG?h=40&w=40&mode=stretch
CA Prince Kathuria Classes (CA),Faridabad,https://images.collegedunia.com/public/image/institute/logo_159918760448391792_1457305851068837_6508878742150971392_n.jpg?h=40&w=40&mode=stretch
Gopal Bhoot Classes ,Kolkata,https://images.collegedunia.com/public/image/institute/logo_15991313037737-logo 01.jpg?h=40&w=40&mode=stretch
Silica (NID),Bangalore,https://images.collegedunia.com/public/image/institute/logo_1599134921silica.jpg?h=40&w=40&mode=stretch
Sachin Ajmera Classes ,Jaipur,https://images.collegedunia.com/public/image/institute/logo_1599137652sac-logo-1.png?h=40&w=40&mode=stretch
ArivuPro Academy ,Bangalore,https://images.collegedunia.com/public/image/institute/logo_1599221196lllogo.png?h=40&w=40&mode=stretch
NorthStar Academy ,Bangalore,https://images.collegedunia.com/public/image/institute/logo_1599227498logo1.png?h=40&w=40&mode=stretch
Ankit Oberoi Commerce Classes ,New Delhi,https://images.collegedunia.com/public/image/institute/logo_1599310685download (8).jpg?h=40&w=40&mode=stretch
CA Arun Sethia Classes ,New Delhi,https://images.collegedunia.com/public/image/institute/logo_1599371093arun logo.png?h=40&w=40&mode=stretch
Ramu Sir CA Classes ,Hyderabad,https://images.collegedunia.com/public/image/institute/logo_1599413176ram logo.png?h=40&w=40&mode=stretch
BACA classes for CA coaching ,Kolkata,https://images.collegedunia.com/public/image/institute/logo_1599425980baca logo.png?h=40&w=40&mode=stretch
Harshita Academy (JEE Main),Chennai,https://images.collegedunia.com/public/image/institute/logo_1605002337download (1).png?h=40&w=40&mode=stretch
Compass Law Classes (Judicial Services),Jaipur,https://images.collegedunia.com/public/image/institute/logo_1599469607compass logo.jpg?h=40&w=40&mode=stretch
RVM Finishing School of Finance ,Hyderabad,https://images.collegedunia.com/public/image/institute/logo_159953435145710075_1790784197713693_5686981491012141056_n.jpg?h=40&w=40&mode=stretch
Taking Forward Institute ,Bhopal,https://images.collegedunia.com/public/image/institute/logo_1599566654tlogo.jpeg?h=40&w=40&mode=stretch
Career Empower Law Academy (CLAT),New Delhi,https://images.collegedunia.com/public/image/institute/logo_1599572000ce logo.jpg?h=40&w=40&mode=stretch
Crosswalk CPA Academy (CPA Certification),Gurgaon,https://images.collegedunia.com/public/image/institute/logo_1600788682cross-walk-cpa-review-palam-vihar-gurgaon-0p72y-250.jpg?h=40&w=40&mode=stretch
Premier Academy ,Chennai,https://images.collegedunia.com/public/image/institute/logo_1599647205logo (1).png?h=40&w=40&mode=stretch
Target Design Academy (NIFT),New Delhi,https://images.collegedunia.com/public/image/institute/logo_1599724250tda.jpg?h=40&w=40&mode=stretch
Center For English and Foreign Language ,Mumbai,https://images.collegedunia.com/public/image/institute/logo_1599727750download (3).jpg?h=40&w=40&mode=stretch
I-Arch NATA Coaching Centre ,Chennai,https://images.collegedunia.com/public/image/institute/logo_1599823385iarch logo_1.jpg?h=40&w=40&mode=stretch
SV videsh vidya (GRE),Bangalore,https://images.collegedunia.com/public/image/institute/logo_1599903073logo-1.png?h=40&w=40&mode=stretch
EduAims (GRE),Kolkata,https://images.collegedunia.com/public/image/institute/logo_1600687917m.jpg?h=40&w=40&mode=stretch
Aadele Training Academy ,Chennai,https://images.collegedunia.com/public/image/institute/logo_1600799331gu.jpg?h=40&w=40&mode=stretch
Learners Cortex (IELTS),Bangalore,https://images.collegedunia.com/public/image/institute/logo_1600027430magoosh logo.jpg?h=40&w=40&mode=stretch
PREP STROM (IELTS),Bangalore,https://images.collegedunia.com/public/image/institute/logo_1600070762prepstrom LOGO.png?h=40&w=40&mode=stretch
AptitudeMate Education Pvt. Ltd. (CLAT),New Delhi,https://images.collegedunia.com/public/image/institute/logo_1600074006apt logo.png?h=40&w=40&mode=stretch
BroadMind Institute (IELTS),Chennai,https://images.collegedunia.com/public/image/institute/logo_1600103339broad lo.jpeg?h=40&w=40&mode=stretch
Study2migrate ,Hyderabad,https://images.collegedunia.com/public/image/institute/logo_1600234458cropped-path1859.png?h=40&w=40&mode=stretch
IELTS Guru (IELTS),Hyderabad,https://images.collegedunia.com/public/image/institute/logo_1600238627ielts logo.png?h=40&w=40&mode=stretch
Seek Academy ,New Delhi,https://images.collegedunia.com/public/image/institute/logo_1600321181SEEK-LOGO.png?h=40&w=40&mode=stretch
Anannt Institute ,Pune,https://images.collegedunia.com/public/image/institute/logo_1600343390download (8).jpg?h=40&w=40&mode=stretch
Grad-Dreams Education Consulting Private Limited (Study Abroad),Mumbai,https://images.collegedunia.com/public/image/institute/logo_1654181154Grad-Dreams Logo (1).jpg?h=40&w=40&mode=stretch
Thrive Edge Classes ,Pune,https://images.collegedunia.com/public/image/institute/logo_1600440503logo.png?h=40&w=40&mode=stretch
Qbix Academia ,Pune,https://images.collegedunia.com/public/image/institute/logo_1600662124download (2).png?h=40&w=40&mode=stretch
Dr. Raju's Educational Academy ,Hyderabad,https://images.collegedunia.com/public/image/institute/logo_1600662083Dr.-Rajus-Educational-Academy.png?h=40&w=40&mode=stretch
Kangokiwi Education services (GMAT),New Delhi,https://images.collegedunia.com/public/image/institute/logo_1600444850unnamed.jpg?h=40&w=40&mode=stretch
Meridean Overseas Education Consultants (Study Abroad),Pune,https://images.collegedunia.com/public/image/institute/logo_1600997908HD-Logo-1 (1).jpg?h=40&w=40&mode=stretch
