,College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
1,IIT Madras (IITM),"Chennai,  Tamil Nadu",AICTE,Estd 1959,Autonomous University,8.0,"IIT Madras is the top technical and research university founded in 1959. IIT Madras has been consistently ranked #1 among the top engineering colleges in India as well as in the overall category. IIT Madras offers more than 100 program via its 19 departments. IIT Madras is located over a sprawling 250 hectares of campus and houses over 550 faculty members, 8000 students, and 1250 administrative and supporting staff. IIT Madras has signed MOUs with several foreign universities for student exchange programs. As per the MoUs signed, students pursuing UG, PG, and Dual Degree programs at the institute spend a semester abroad for broad exposure."
2,IIM Ahmedabad (IIMA),"Ahmedabad,  Gujarat",UGC,Estd 1961,Autonomous University,9.0,"IIM Ahmedabad, founded in 1961 is the second oldest IIM and is consistently ranked as the best business school of India. IIM Ahmedabad was ranked 1st by NIRF 2023, among the top 100 Indian B-Schools. IIM Ahmedabad is known for its 2 year PGP (MBA) program which offers admissions through CAT. IIM Ahmedabad cutoff remains around 80 percentile in CAT for shortlisting and students with over 99 percentile have a good chance of getting the interview call. IIM Ahmedabad is known for its stellar placements in the Consulting and Finance domain. IIM Ahmedabad MBA fees is 25 Lakhs while IIM Ahmedabad average package stood at INR 32.79 LPA and IIM Ahmedabad highest package stood at INR 1.15 CPA (As per the data researched by Collegedunia) for the 2023 batch making its ROI very high. "
3,IIM Bangalore (IIMB),"Bangalore,  Karnataka","AICTE, UGC",Estd 1973,Autonomous University,9.2,"IIM Bangalore, established in 1973 is the 2nd best management institute in India, according to NIRF ranking. IIMB Flagship MBA and EMBA program has also been ranked 47th  by the FT Global MBA Rankings 2024. IIM Bangalore's 2-year MBA program offers admission through CAT. IIM Bangalore cut-off is around 85 percentile overall for the Written Ability Test (WAT) and Personal Interview (PI) round. "
4,IIM Calcutta,"Kolkata,  West Bengal",UGC,Estd 1961,Autonomous University,8.0,"IIM Calcutta - Indian Institute of Management, Calcutta is one of the top and oldest IIMs in the Country. IIM Calcutta is renowned for pioneering education in the finance sector. IIM Calcutta is known for its 2-year flagship MBA program, which accepts admission through CAT. IIM Calcutta cut off is 85 percentile, however candidates scoring 96-99 percentile or higher are considered for admission."
5,IIT Delhi (IITD),"New Delhi,  Delhi NCR","AICTE, NBA, AACSB, AMBA",Estd 1981,Private,8.0,
6,SP Jain (SPJIMR),"Mumbai,  Maharashtra","AICTE, UGC",Estd 1951,Autonomous University,8.7,
7,IIT Kharagpur (IITKGP),"Kharagpur,  West Bengal","UGC, AACSB, AMBA",Estd 1984,Autonomous University,8.5,"IIM Lucknow is the 4th IIM to be established by the Government of India in 1984. IIM Lucknow mentors the newly established IIM Jammu, IIM Rohtak and IIM Kashipur. IIM Lucknow is widely known for its academic excellence, diverse student community, and strong industry interface. IIM Lucknow was ranked 6th by NIRF 2023 and 6th by IIRF 2024 in the Management Category. The Institute also secured 85th Rank in FT Global MBA 2024 Rankings. The institute provides international exposure to its students through international exchange programs and international competitions."
8,IIM Lucknow (IIML),"Lucknow,  Uttar Pradesh",UGC,Estd 1959,Autonomous University,8.8,Table of Content
9,IIT Kanpur (IITK),"Kanpur,  Uttar Pradesh",AMBA,Estd 1996,Autonomous University,8.0,"IIM Indore is one of the prestigious management institutes established in 1996. IIM Indore has been ranked 8th by NIRF 2023. IIM Indore EPGP program has been awarded 89th rank among the Top 100 Global MBA courses by FT Ranking 2023. IIM Indore offers PGP, Executive PGP, PhD in the field of management. IIM Indore MBA fees is INR 21.17 Lakhs."
10,IIM Indore (IIMI),"Indore,  Madhya Pradesh","AACSB, AMBA",Estd 1996,Autonomous University,8.0,"IIM Kozhikode is one of the premier management institutes established in 1996, by the Government of India. IIM Kozhikode ranks 3rd by NIRF 2023 among the top B-Schools in India. IIM Kozhikode offers admission to its 2-year flagship PGP program, through CAT. IIM Kozhikode cut-off is 85 percentile (Overall) and the sectional cutoff is 75 percentile, yet candidates with a 98 percentile or higher have a better chance of being selected for the Interview. IIM Kozhikode MBA fees is INR 20.50 lakh, whereas IIM Kozhikode average package stood at INR 31.02 LPA."
